id,category,question,answer
284,Returns & Refunds,Can I return a sale or clearance item?,"Sale and clearance items are typically final sale, but exceptions may apply, shown on the product page."
285,Returns & Refunds,How do I print my return shipping label?,"After starting a return under ""My Orders,"" you can download and print the prepaid shipping label."
286,Returns & Refunds,What if I lost my return shipping label?,"You can re-download your return label anytime from ""My Orders"" under the return details."
287,Returns & Refunds,Can I return a gift I received?,"Yes, gifts can be returned using the gift receipt or order number, even without the original purchaser's account."
288,Returns & Refunds,How long do I have to return an item?,Most items can be returned within 30 days of the delivery date.
289,Returns & Refunds,Why was my refund amount less than I expected?,"Refunds may exclude original shipping fees or restocking charges, depending on the return reason."
290,Returns & Refunds,"Can I return an item I bought in-store to your website, or vice versa?",Items purchased online can usually be returned by mail; in-store purchases should be returned to a physical location.
291,Returns & Refunds,How do I cancel a return request I already started?,"Go to ""My Orders,"" open the return details, and select ""Cancel Return"" if it hasn't been shipped back yet."
292,Returns & Refunds,What items are not eligible for return?,"Items like personal care products, perishables, and customized goods are generally not eligible for return."
293,Returns & Refunds,"I received the wrong item, what do I do?",We're sorry for the mix-up! Please contact support with your order number so we can send the correct item or process a refund.
294,Returns & Refunds,"My item arrived defective, can I get a replacement?","Yes, defective items are eligible for a free replacement or full refund. Please contact support with photos of the issue."
295,Returns & Refunds,How do I track my return shipment?,Use the tracking number provided with your return label to monitor its progress back to our warehouse.
296,Returns & Refunds,Can I get a partial refund instead of returning the item?,"For minor issues, partial refunds may be offered instead of a full return. Contact support to check eligibility."
297,Returns & Refunds,Do I need a reason to return an item?,"A return reason helps us improve, but most returns can be processed even with a general reason selected."
298,Returns & Refunds,Will I get my refund in the original currency?,"Yes, refunds are issued in the same currency and to the same payment method used for the original purchase."
299,Returns & Refunds,How long does it take to process a returned item once you receive it?,"Once your return is received at our warehouse, refunds are typically processed within 5–7 business days."
300,Returns & Refunds,Can I return part of an order and keep the rest?,"Yes, you can select specific items from a multi-item order to return while keeping the others."
301,Technical Support,"The website isn't loading, what should I do?","Try refreshing the page or clearing your browser cache. If the issue persists, it may be a temporary outage."
302,Technical Support,"The app keeps crashing, how do I fix it?","Try closing and reopening the app, or updating to the latest version from your app store."
303,Technical Support,I can't add items to my cart,"Try refreshing the page or logging out and back in. If the issue continues, clear your browser cache or try a different browser."
304,Technical Support,Why is checkout not working?,"Checkout issues are often caused by browser cache, an expired session, or payment validation errors. Try refreshing or using a different browser."
305,Technical Support,I'm getting an error message during checkout,"Please note the exact error message and try again. If it persists, contact support with a screenshot for faster help."
306,Technical Support,The page is stuck loading,This is often a temporary connectivity issue. Try refreshing the page or checking your internet connection.
307,Technical Support,Images on the website aren't displaying correctly,Try clearing your browser cache or disabling browser extensions that might block content loading.
308,Technical Support,How do I clear my browser cache?,"Go to your browser settings, find ""Privacy"" or ""History,"" and select ""Clear Browsing Data"" or ""Clear Cache."""
309,Technical Support,The mobile app won't let me log in,"Make sure you're using the latest app version and correct credentials. If it still fails, try resetting your password."
310,Technical Support,I'm not receiving any notifications from the app,Check that notifications are enabled in your phone settings and within the app's notification preferences.
311,Technical Support,Why can't I upload a photo for my return request?,"Make sure the photo is under the file size limit and in a supported format like JPG or PNG, then try again."
312,Technical Support,The search bar isn't returning any results,"Try simplifying your search terms or checking your spelling. If the issue continues, it may be a temporary site issue."
313,Technical Support,My discount code field won't accept input,Try refreshing the checkout page or copy-pasting the code carefully to avoid extra spaces.
314,Technical Support,The site keeps logging me out automatically,This can happen due to session timeouts or cookie settings. Make sure cookies are enabled for our site in your browser.
315,Technical Support,Why is the website running so slowly?,"Slow performance can be caused by your internet connection, browser extensions, or high site traffic. Try a different browser or network."
316,Technical Support,I can't access my account on a new device,"Make sure you're entering the correct login details. If needed, reset your password to regain access from the new device."
317,Technical Support,The app isn't updating to the latest version,"Check your app store for available updates, and make sure your device has enough storage space."
318,Technical Support,Why do I keep getting logged out of the app?,Frequent logouts can be caused by outdated app versions or device storage issues. Try updating the app or restarting your device.
319,Technical Support,I'm having trouble applying filters on the product page,"Try refreshing the page or disabling ad blockers, which can sometimes interfere with site filters."
320,Technical Support,How do I report a bug on the website or app?,"Please contact support with a description of the issue and a screenshot if possible, so our team can investigate."
321,Contact & General,How can I contact customer support?,"You can reach us via live chat, email, or phone, all listed on our ""Contact Us"" page."
322,Contact & General,What are your customer support hours?,"Our support team is available 24/7 via chat, with phone support available during business hours."
323,Contact & General,How do I speak to a human agent?,"Type ""talk to an agent"" or select ""Live Support"" in the chat to be connected with a support representative."
324,Contact & General,Do you have a phone number I can call?,"Yes, our customer support phone number is listed on the ""Contact Us"" page."
325,Contact & General,What is your email address for support inquiries?,"You can reach our support team through the contact form on our ""Contact Us"" page."
326,Contact & General,Where are you located?,"We operate primarily online; specific company address details are listed on our ""About Us"" page."
327,Contact & General,Do you have a physical store I can visit?,"Store availability varies by region. Check our ""Store Locator"" page to see if there's one near you."
328,Contact & General,How do I leave feedback about my experience?,"You can share feedback through the ""Contact Us"" page or via the survey sent after your order."
329,Contact & General,How do I file a complaint?,"Please contact support with details of your concern, and our team will work to resolve it promptly."
330,Contact & General,Do you have a loyalty or rewards program?,"Yes, our rewards program lets you earn points on purchases that can be redeemed for discounts. Check the ""Rewards"" page for details."
331,Contact & General,How do I join the rewards program?,"You can join for free by going to the ""Rewards"" page and signing up with your account."
332,Contact & General,Do you offer student or military discounts?,"Yes, eligible discounts are available for students and military members; verification is required at checkout."
333,Contact & General,How do I become a seller on your platform?,"Visit our ""Sell With Us"" page to learn about requirements and start the seller application process."
334,Contact & General,Do you have an affiliate or referral program?,"Yes, you can refer friends through your account's ""Referrals"" section and earn rewards for successful referrals."
335,Contact & General,What is your privacy policy?,"Our full privacy policy is available on the ""Privacy Policy"" page, detailing how we handle your data."
336,Contact & General,What are your terms and conditions?,"Our terms and conditions are available on the ""Terms of Service"" page on our website."
337,Contact & General,Do you offer price matching?,"Price matching policies vary by item and competitor; check our ""Price Match"" page for current eligibility."
338,Contact & General,How do I find out about upcoming sales or promotions?,"Subscribe to our newsletter or check the ""Deals"" page for the latest sales and promotions."
339,Contact & General,Are you hiring? How do I apply for a job?,"Visit our ""Careers"" page to view open positions and submit an application."
340,Contact & General,How do I get help if my issue isn't resolved by chat?,"You can escalate to a live agent through chat, or contact us by phone or email for further assistance."
