id,category,question,answer,clean_question
255,Shipping,Do you charge customs or import fees?,"International orders may be subject to customs duties or import taxes, which are the buyer's responsibility.",do you charge customs or import fees
258,Payments,Do you accept Apple Pay or Google Pay?,"Yes, both Apple Pay and Google Pay are supported at checkout where available.",do you accept apple pay or google pay
259,Payments,Why was my payment declined?,"Payments can be declined due to insufficient funds, incorrect card details, or your bank's security checks. Try another payment method or contact your bank.",why was my payment declined
260,Payments,Is it safe to enter my card information on your site?,"Yes, all payment information is encrypted and processed through secure, PCI-compliant systems.",is it safe to enter my card information on your site
261,Payments,Can I pay in installments?,Installment payment plans are available at checkout for eligible orders through our partnered providers.,can i pay in installments
262,Payments,How do I update my billing address?,"Go to ""Account Settings"" > ""Payment Methods"" to update your billing address.",how do i update my billing address
263,Payments,Can I use multiple payment methods for one order?,"Currently, only one payment method can be used per order.",can i use multiple payment methods for one order
264,Payments,Why was I charged before my order shipped?,"Payment is typically authorized at checkout to confirm funds, even though the full order may ship later.",why was i charged before my order shipped
265,Payments,How do I remove a saved card from my account?,"Go to ""Account Settings"" > ""Payment Methods"" and select ""Remove"" next to the card you want to delete.",how do i remove a saved card from my account
266,Payments,Can I use a gift card to pay for my order?,"Yes, enter your gift card code in the ""Gift Card"" field at checkout to apply the balance.",can i use a gift card to pay for my order
268,Payments,Do you accept cash on delivery?,Cash on delivery may be available in select regions; this option will appear at checkout if eligible.,do you accept cash on delivery
269,Payments,Why does my statement show a different charge amount?,This may include currency conversion fees or split payments. Contact support with your order number for clarification.,why does my statement show a different charge amount
270,Payments,Can I get an invoice for my order?,"Yes, you can download an invoice from ""My Orders"" by selecting the specific order.",can i get an invoice for my order
271,Payments,Is sales tax included in the price shown?,Sales tax is calculated based on your shipping address and added at checkout before final payment.,is sales tax included in the price shown
272,Payments,How do I update an expired credit card on file?,"Go to ""Account Settings"" > ""Payment Methods"" to remove the expired card and add a new one.",how do i update an expired credit card on file
273,Payments,Why do I see a pending charge that hasn't gone through?,This is usually a temporary authorization hold that will clear or finalize within a few business days.,why do i see a pending charge that hasnt gone through
274,Payments,Can I split payment between a gift card and credit card?,"Yes, gift card balances can be combined with another payment method to cover the remaining total.",can i split payment between a gift card and credit card
275,Payments,Do prices include currency conversion for international orders?,"Prices are shown in your local currency when possible, but your bank may apply its own conversion rate and fees.",do prices include currency conversion for international orders
279,Returns & Refunds,Can I exchange an item instead of returning it?,"Yes, select ""Exchange"" instead of ""Return"" under ""My Orders"" to choose a different size or color.",can i exchange an item instead of returning it
280,Returns & Refunds,How do I get a refund instead of store credit?,"Select ""Refund to Original Payment Method"" when starting your return under ""My Orders.""",how do i get a refund instead of store credit
281,Returns & Refunds,"My refund hasn't shown up yet, what should I do?","Refunds can take a few extra days to appear on your statement. If it's been over 10 business days, contact support.",my refund hasnt shown up yet what should i do
282,Returns & Refunds,Can I return an item without the original packaging?,"Items are best returned in original packaging, but some items may still be accepted on a case-by-case basis.",can i return an item without the original packaging
283,Returns & Refunds,Is return shipping free?,Return shipping is free for most items; a prepaid label is provided when you start your return.,is return shipping free
284,Returns & Refunds,Can I return a sale or clearance item?,"Sale and clearance items are typically final sale, but exceptions may apply, shown on the product page.",can i return a sale or clearance item
285,Returns & Refunds,How do I print my return shipping label?,"After starting a return under ""My Orders,"" you can download and print the prepaid shipping label.",how do i print my return shipping label
286,Returns & Refunds,What if I lost my return shipping label?,"You can re-download your return label anytime from ""My Orders"" under the return details.",what if i lost my return shipping label
287,Returns & Refunds,Can I return a gift I received?,"Yes, gifts can be returned using the gift receipt or order number, even without the original purchaser's account.",can i return a gift i received
288,Returns & Refunds,How long do I have to return an item?,Most items can be returned within 30 days of the delivery date.,how long do i have to return an item
289,Returns & Refunds,Why was my refund amount less than I expected?,"Refunds may exclude original shipping fees or restocking charges, depending on the return reason.",why was my refund amount less than i expected
290,Returns & Refunds,"Can I return an item I bought in-store to your website, or vice versa?",Items purchased online can usually be returned by mail; in-store purchases should be returned to a physical location.,can i return an item i bought instore to your website or vice versa
291,Returns & Refunds,How do I cancel a return request I already started?,"Go to ""My Orders,"" open the return details, and select ""Cancel Return"" if it hasn't been shipped back yet.",how do i cancel a return request i already started
292,Returns & Refunds,What items are not eligible for return?,"Items like personal care products, perishables, and customized goods are generally not eligible for return.",what items are not eligible for return
293,Returns & Refunds,"I received the wrong item, what do I do?",We're sorry for the mix-up! Please contact support with your order number so we can send the correct item or process a refund.,i received the wrong item what do i do
294,Returns & Refunds,"My item arrived defective, can I get a replacement?","Yes, defective items are eligible for a free replacement or full refund. Please contact support with photos of the issue.",my item arrived defective can i get a replacement
295,Returns & Refunds,How do I track my return shipment?,Use the tracking number provided with your return label to monitor its progress back to our warehouse.,how do i track my return shipment
296,Returns & Refunds,Can I get a partial refund instead of returning the item?,"For minor issues, partial refunds may be offered instead of a full return. Contact support to check eligibility.",can i get a partial refund instead of returning the item
297,Returns & Refunds,Do I need a reason to return an item?,"A return reason helps us improve, but most returns can be processed even with a general reason selected.",do i need a reason to return an item
298,Returns & Refunds,Will I get my refund in the original currency?,"Yes, refunds are issued in the same currency and to the same payment method used for the original purchase.",will i get my refund in the original currency
299,Returns & Refunds,How long does it take to process a returned item once you receive it?,"Once your return is received at our warehouse, refunds are typically processed within 5–7 business days.",how long does it take to process a returned item once you receive it
300,Returns & Refunds,Can I return part of an order and keep the rest?,"Yes, you can select specific items from a multi-item order to return while keeping the others.",can i return part of an order and keep the rest
301,Technical Support,"The website isn't loading, what should I do?","Try refreshing the page or clearing your browser cache. If the issue persists, it may be a temporary outage.",the website isnt loading what should i do
302,Technical Support,"The app keeps crashing, how do I fix it?","Try closing and reopening the app, or updating to the latest version from your app store.",the app keeps crashing how do i fix it
304,Technical Support,Why is checkout not working?,"Checkout issues are often caused by browser cache, an expired session, or payment validation errors. Try refreshing or using a different browser.",why is checkout not working
305,Technical Support,I'm getting an error message during checkout,"Please note the exact error message and try again. If it persists, contact support with a screenshot for faster help.",im getting an error message during checkout
306,Technical Support,The page is stuck loading,This is often a temporary connectivity issue. Try refreshing the page or checking your internet connection.,the page is stuck loading
307,Technical Support,Images on the website aren't displaying correctly,Try clearing your browser cache or disabling browser extensions that might block content loading.,images on the website arent displaying correctly
308,Technical Support,How do I clear my browser cache?,"Go to your browser settings, find ""Privacy"" or ""History,"" and select ""Clear Browsing Data"" or ""Clear Cache.""",how do i clear my browser cache
309,Technical Support,The mobile app won't let me log in,"Make sure you're using the latest app version and correct credentials. If it still fails, try resetting your password.",the mobile app wont let me log in
310,Technical Support,I'm not receiving any notifications from the app,Check that notifications are enabled in your phone settings and within the app's notification preferences.,im not receiving any notifications from the app
311,Technical Support,Why can't I upload a photo for my return request?,"Make sure the photo is under the file size limit and in a supported format like JPG or PNG, then try again.",why cant i upload a photo for my return request
312,Technical Support,The search bar isn't returning any results,"Try simplifying your search terms or checking your spelling. If the issue continues, it may be a temporary site issue.",the search bar isnt returning any results
313,Technical Support,My discount code field won't accept input,Try refreshing the checkout page or copy-pasting the code carefully to avoid extra spaces.,my discount code field wont accept input
314,Technical Support,The site keeps logging me out automatically,This can happen due to session timeouts or cookie settings. Make sure cookies are enabled for our site in your browser.,the site keeps logging me out automatically
315,Technical Support,Why is the website running so slowly?,"Slow performance can be caused by your internet connection, browser extensions, or high site traffic. Try a different browser or network.",why is the website running so slowly
316,Technical Support,I can't access my account on a new device,"Make sure you're entering the correct login details. If needed, reset your password to regain access from the new device.",i cant access my account on a new device
317,Technical Support,The app isn't updating to the latest version,"Check your app store for available updates, and make sure your device has enough storage space.",the app isnt updating to the latest version
318,Technical Support,Why do I keep getting logged out of the app?,Frequent logouts can be caused by outdated app versions or device storage issues. Try updating the app or restarting your device.,why do i keep getting logged out of the app
319,Technical Support,I'm having trouble applying filters on the product page,"Try refreshing the page or disabling ad blockers, which can sometimes interfere with site filters.",im having trouble applying filters on the product page
320,Technical Support,How do I report a bug on the website or app?,"Please contact support with a description of the issue and a screenshot if possible, so our team can investigate.",how do i report a bug on the website or app
321,Contact & General,How can I contact customer support?,"You can reach us via live chat, email, or phone, all listed on our ""Contact Us"" page.",how can i contact customer support
322,Contact & General,What are your customer support hours?,"Our support team is available 24/7 via chat, with phone support available during business hours.",what are your customer support hours
323,Contact & General,How do I speak to a human agent?,"Type ""talk to an agent"" or select ""Live Support"" in the chat to be connected with a support representative.",how do i speak to a human agent
324,Contact & General,Do you have a phone number I can call?,"Yes, our customer support phone number is listed on the ""Contact Us"" page.",do you have a phone number i can call
325,Contact & General,What is your email address for support inquiries?,"You can reach our support team through the contact form on our ""Contact Us"" page.",what is your email address for support inquiries
327,Contact & General,Do you have a physical store I can visit?,"Store availability varies by region. Check our ""Store Locator"" page to see if there's one near you.",do you have a physical store i can visit
328,Contact & General,How do I leave feedback about my experience?,"You can share feedback through the ""Contact Us"" page or via the survey sent after your order.",how do i leave feedback about my experience
329,Contact & General,How do I file a complaint?,"Please contact support with details of your concern, and our team will work to resolve it promptly.",how do i file a complaint
330,Contact & General,Do you have a loyalty or rewards program?,"Yes, our rewards program lets you earn points on purchases that can be redeemed for discounts. Check the ""Rewards"" page for details.",do you have a loyalty or rewards program
331,Contact & General,How do I join the rewards program?,"You can join for free by going to the ""Rewards"" page and signing up with your account.",how do i join the rewards program
332,Contact & General,Do you offer student or military discounts?,"Yes, eligible discounts are available for students and military members; verification is required at checkout.",do you offer student or military discounts
333,Contact & General,How do I become a seller on your platform?,"Visit our ""Sell With Us"" page to learn about requirements and start the seller application process.",how do i become a seller on your platform
334,Contact & General,Do you have an affiliate or referral program?,"Yes, you can refer friends through your account's ""Referrals"" section and earn rewards for successful referrals.",do you have an affiliate or referral program
335,Contact & General,What is your privacy policy?,"Our full privacy policy is available on the ""Privacy Policy"" page, detailing how we handle your data.",what is your privacy policy
336,Contact & General,What are your terms and conditions?,"Our terms and conditions are available on the ""Terms of Service"" page on our website.",what are your terms and conditions
337,Contact & General,Do you offer price matching?,"Price matching policies vary by item and competitor; check our ""Price Match"" page for current eligibility.",do you offer price matching
338,Contact & General,How do I find out about upcoming sales or promotions?,"Subscribe to our newsletter or check the ""Deals"" page for the latest sales and promotions.",how do i find out about upcoming sales or promotions
339,Contact & General,Are you hiring? How do I apply for a job?,"Visit our ""Careers"" page to view open positions and submit an application.",are you hiring how do i apply for a job
340,Contact & General,How do I get help if my issue isn't resolved by chat?,"You can escalate to a live agent through chat, or contact us by phone or email for further assistance.",how do i get help if my issue isnt resolved by chat
